Startup,Sector,Business model,Employee count 2Q 2023,Employment taxes 2Q 2023,Turnover 2Q 2023,Year founded
 GV Correct,"HealthTech, Life sciences & Wellness",B2C,-,-,-,2020
 Fixmytruck,Business software & HR,B2B,-,-,-,2021
 FlexiWool,Advanced Manufacturing & Industry,"B2B, B2C",-,-,€ 85,2020
 Tour Motor,Consumer products and services,B2B2C,-,-,€ 767,2020
 Drinkie,Consumer products and services,B2C,-,-,-,2021
 Koik App Oü,Consumer products and services,B2B2C,-,-,-,2021
 Bidsly,Consumer products and services,"C2C, B2C",-,-,-,2020
 Briden,PropTech & Construction,B2B,-,-,-,2020
 SISIFLOW,FinTech,B2B,-,-,€ 255,2021
 Stafflow,Business software & HR,B2B,-,-,-,2020
 SimpleLive,Communication,B2B,-,-,-,2022
 Kustmann,Gaming,"B2B, B2C",-,-,-,2020
 Fintellect,FinTech,B2B,-,-,-,2021
 Zumud,FinTech,C2C,-,-,€ 36.7K,2021
" EyeMotion, Globa...",Gaming,"B2B, B2C",-,-,-,2021
 DroneScan,Transportation & Logistics,B2B,-,-,-,2021
 Smart Tap,Communication,-,1,-,-,2021
 Cardoo,FinTech,B2B2C,1,-,-,2021
 EIMIO,Business software & HR,B2B,-,-,€ 243,2021
 Phenon,FinTech,"B2B, B2C, B2B2C",-,-,-,2019
 BILPP GO,Business software & HR,"B2B, B2G, C2C, B2C, B2B2C",-,-,-,2020
 Foodapp,Consumer products and services,B2B2C,-,-,-,2021
 Bankoff,FinTech,"B2B, B2C, B2B2C",-,-,-,2022
 Reyo apps,"HealthTech, Life sciences & Wellness","B2G, C2C, B2C, B2B2C",-,-,-,2021
 eCheiron,EdTech,B2C,-,-,-,2020
 Lawato,Business software & HR,B2B,-,-,-,2021
 Calqulate,FinTech,B2B,-,-,-,2021
 MLIST,Communication,B2C,-,-,-,2020
 89COINS,Business software & HR,"B2B, B2C",-,-,€ 31,2020
 Playfaire,Consumer products and services,"C2C, B2C",-,-,-,2021
 Claivo,"HealthTech, Life sciences & Wellness",B2B,-,-,-,2021
 Dattiva (Formerl...,Advanced Manufacturing & Industry,B2B,-,-,-,2021
 OTA Sync,TravelTech,"B2B, B2C",-,-,€ 32.6K,2021
 Floggy,Consumer products and services,"B2B, B2C",-,-,-,2021
 Tikker piletid O...,Consumer products and services,"C2C, B2C",-,-,-,2021
 Getpin,Communication,"B2B, B2C",-,-,€ 4.9K,2021
 Nelma.io,"HealthTech, Life sciences & Wellness","C2C, B2C",-,-,€ 4.1K,2021
 Hologram Design,AdTech & Creative Tech,"B2B, B2C, B2B2C",-,-,-,2020
 Fintruck,Transportation & Logistics,B2B,-,-,-,2020
 Peppela,Transportation & Logistics,"B2B, B2C",-,-,-,2018
 Decomer Technolo...,CleanTech,"B2B, B2B2C",-,-,-,2018
 NOFOBI,"HealthTech, Life sciences & Wellness",B2C,-,-,-,2021
 Hotelwise,TravelTech,"B2B, B2C",-,-,-,2020
 Seekmake.com,Advanced Manufacturing & Industry,"B2B, B2B2C",-,-,-,2022
 uScore,AdTech & Creative Tech,B2B,-,-,-,2021
 PopSpot,Communication,"C2C, B2C",-,-,€ 4.5K,2021
 Zikaron Technolo...,Consumer products and services,"B2C, B2B2C",-,-,-,2021
 sudocs,Business software & HR,B2B,1,-,-,2022
 unigift,AdTech & Creative Tech,"C2C, B2C",-,-,-,2023
 Streamster,AdTech & Creative Tech,B2C,-,-,€ 17.9K,2021
 Coortex APS,Advanced Manufacturing & Industry,B2B,-,-,€ 73,2021
 Donnie Connect,EdTech,B2C,-,-,-,2022
 ZenFrogs,Gaming,-,-,-,-,2021
 Queue OÜ,Consumer products and services,B2B2C,-,-,-,2021
 Collaq,Business software & HR,B2B,-,-,-,2021
 GOLDEN BUSINESS ...,Business software & HR,"B2B, B2B2C",-,-,€ 10.6K,2021
 Wiply,Communication,"B2B, B2G, C2C, B2C, B2B2C",-,-,€ 24,2022
 Ballwool,Consumer products and services,"C2C, B2C",-,-,-,2019
 UrbanTask,Consumer products and services,"C2C, B2C",-,-,-,2021
 Soshace,Business software & HR,B2B,-,-,-,2019
 Prote,Consumer products and services,"B2B, B2C",1,-,€ 13.1K,2021
 GanttProject Clo...,Business software & HR,"B2B, B2C",-,-,-,2020
 Setiry,Business software & HR,"B2B, B2C",-,-,€ 128K,2017
 Mana Break,Gaming,B2B2C,-,-,€ 153.2K,2021
 Coconut Game,Gaming,B2C,-,-,-,2021
 MultiCraft,Gaming,B2C,-,-,€ 72.9K,2021
 forYou OÜ,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,-,2021
 KEEP,FinTech,B2B,-,-,-,2021
 Glitter Finance,FinTech,"B2B, B2C, B2B2C",-,-,-,2021
 Rhombuss Mobilit...,Transportation & Logistics,B2B,-,-,-,2021
 Volee,Business software & HR,B2B,-,-,€ 20.4K,2021
 Drillin,Consumer products and services,B2B2C,-,-,-,2022
 STRONG Dome Home,Advanced Manufacturing & Industry,"B2B, B2G, B2B2C",-,-,-,2021
 BuildrLink,PropTech & Construction,B2B,-,-,-,2020
 Artano,FinTech,"B2B, C2C",-,-,-,2021
 Nerdish,EdTech,B2C,-,-,€ 17.1K,2020
 MatrixWave,SpaceTech,"B2B, B2G",-,-,-,2022
 Twin Crab,Gaming,B2C,-,-,€ 29.9K,2021
 TrustLynx,Business software & HR,"B2B, B2G, B2B2C",1,-,€ 42.4K,2023
 Quidax,FinTech,"B2B, B2C",-,-,-,2022
 Guul Games,Gaming,"B2B, B2C",-,-,-,2022
 FinConsult,FinTech,B2C,-,-,-,2022
 HealthPhy,"HealthTech, Life sciences & Wellness",B2B2C,-,-,€ 3K,2022
 Lingava,EdTech,"B2B, B2G, B2C, B2B2C",-,-,-,2021
 Original Games O...,Gaming,B2C,-,-,-,2018
 Flant,Business software & HR,B2B,-,-,€ 776K,2018
 Cybeerly,EdTech,B2B2C,-,-,-,2022
 GEMEL,Advanced Manufacturing & Industry,"B2B, B2G, B2C, B2B2C",-,-,-,2019
 GIANT AI,Advanced Manufacturing & Industry,B2B,-,-,-,2022
 Cyphergram,Business software & HR,B2B,-,-,-,2021
 ConstantRobotics,Advanced Manufacturing & Industry,B2B,-,-,-,2021
 PANGEYA,Consumer products and services,"B2B, B2B2C",-,-,€ 8.7K,2020
 Mellyn,CyberTech,B2B,-,-,-,2022
 Shop-E One (TM),Consumer products and services,"B2B, B2C",-,-,-,2021
 Second Breath,Advanced Manufacturing & Industry,B2B,-,-,€ 7.9K,2021
 CoinTurtle,FinTech,"B2B, B2C, B2B2C",-,-,-,2022
 Deskrupter,Communication,B2B,-,-,-,2021
 KOOHOO,TravelTech,"B2B, B2C",-,-,-,2020
 Lendorse,FinTech,B2B2C,-,-,-,2022
 Teach-Points,EdTech,"B2B, B2B2C",-,-,-,2018
 bitPerk,Business software & HR,B2B,1,-,€ 687,2021
 edy,Transportation & Logistics,B2B2C,-,-,-,2014
 4turtles,FinTech,"B2B, B2C",-,-,-,2020
 Dewstack,Communication,B2B,-,-,€ 49,2022
 Rentity,PropTech & Construction,"C2C, B2C, B2B2C",-,-,-,2022
 Pocket IP,Business software & HR,"B2B, B2B2B, B2B2C",-,-,€ 33.5K,2022
 Weld Money,FinTech,"B2B, B2C",-,-,-,2021
 Freerange Lamas,FinTech,B2C,-,-,€ 30.8K,2022
 Digiciti,CyberTech,"B2B, B2G, C2C, B2C, B2B2C",-,-,-,2020
 mbuzi24.com,AgTech & FoodTech,B2C,-,-,-,2021
 the Articlos,AdTech & Creative Tech,B2C,-,-,-,2022
 Pinghome,Consumer products and services,"B2B, B2C",-,-,€ 5.8K,2022
 Ticketsetup,Business software & HR,B2B,-,-,-,2022
 sign.online,Business software & HR,"B2B, B2C, B2B2C",-,-,-,2022
 Anyflexo,Advanced Manufacturing & Industry,B2B,-,-,-,2021
 nopilot,Business software & HR,"B2B, B2B2C",-,-,€ 1.4K,2021
 Fixpark,CyberTech,B2B,-,-,-,2018
 Zillion Pitches,Business software & HR,"B2C, B2B2C",-,-,-,2020
 Kohalt,CleanTech,B2B,-,-,-,2021
 Cognitiwe AI,CleanTech,B2B,-,-,€ 59.3K,2021
 HopLocal,Business software & HR,B2B,-,-,-,2020
 Firerun,Transportation & Logistics,"B2B, B2C, B2B2C",-,-,-,2020
 Silklytics,"HealthTech, Life sciences & Wellness",B2B,-,-,-,2023
 easyref,AdTech & Creative Tech,"B2B, B2C",-,-,€ 18,2022
 Rescraps,CleanTech,B2B,-,-,-,2021
 OptiRail Est,Transportation & Logistics,B2B,-,-,-,2022
 Mumei,Business software & HR,B2B,-,-,-,2022
 Heatsync,CleanTech,B2B,-,-,€ 209,2022
 Filaret,CleanTech,"B2B, B2B2C",-,-,€ 5.4K,2022
 Mintmade,FinTech,B2B,-,-,-,2021
 RedoxNRG,CleanTech,"B2B, B2G, C2C, B2C, B2B2C",-,-,-,2021
 Rendipood.ee,Consumer products and services,"B2B, C2C, B2C",-,-,-,2021
 FoundCase,Consumer products and services,"C2C, B2C",-,-,-,2021
 heybooster,AdTech & Creative Tech,B2B,-,-,€ 11.9K,2021
 Food Filter,"HealthTech, Life sciences & Wellness",B2C,-,-,-,2023
 BlurBay,AdTech & Creative Tech,"B2B, C2C, B2C, B2B2C",-,-,€ 24.1K,2022
 ClimaCash,CleanTech,"B2C, B2B2C",-,-,€ 3.5K,2022
 Acounto,FinTech,B2B,-,-,€ 1.1K,2020
 Swapin.com,FinTech,"B2B, B2C, B2B2C",-,-,-,2018
 Bloom (Retail),Business software & HR,"B2B, B2C, B2B2C",-,-,-,2020
 Tiplay,Gaming,"B2C, B2B2C",-,-,€ 140.5K,2020
 Suppy,Consumer products and services,"B2B, B2C",-,-,€ 274,2021
 Low imPACK,Consumer products and services,"B2B, B2B2C",-,-,€ 8.9K,2022
 We Care,"HealthTech, Life sciences & Wellness","B2B, B2C, B2B2C",-,-,-,2022
 Chameo,AdTech & Creative Tech,"B2B, B2B2C",-,-,-,2022
 Coinracer,Gaming,B2C,-,-,-,2021
 Cylon Accounting,FinTech,B2B,-,-,-,2022
 Primsell,FinTech,"B2B, B2B2C",-,-,-,2022
 NFTing,FinTech,B2B2C,-,-,-,2022
 Essence app,"HealthTech, Life sciences & Wellness",B2B2C,-,-,-,2022
 Shypper Technolo...,Transportation & Logistics,B2B,-,-,-,2022
 Plantos,AgTech & FoodTech,-,-,-,€ 14.2K,2020
 Kaarik,Transportation & Logistics,-,-,-,-,2021
 Flxion,Business software & HR,-,-,-,€ 22K,2021
 Dento,"HealthTech, Life sciences & Wellness",B2B2C,-,-,€ 20.5K,2013
 Rent&Go,Transportation & Logistics,B2C,-,-,-,2022
 Tuker,Consumer products and services,B2C,-,-,-,2020
 Fudy,Consumer products and services,"B2B, B2C",-,-,-,2021
 Future Dialog,Communication,"B2B, B2G",-,-,€ 11.9K,2021
 Key2enable Assis...,EdTech,"B2B, B2G, B2B2C",-,-,-,2022
 Uniborn.com,FinTech,"C2C, B2C, B2B2C",-,-,€ 1.1K,2022
 Justacart,Consumer products and services,B2B,-,-,-,2022
 Max Game Value,Gaming,B2B2C,-,-,€ 483,2021
 Roadly,Transportation & Logistics,"B2B, B2C",-,-,€ 26K,2021
 Pirsik OÜ,TravelTech,B2B2C,-,-,-,2022
 Eppie,Communication,B2C,-,-,-,2017
 BzCall.com,Consumer products and services,"B2B, C2C, B2C",-,-,-,2021
 Journo Birds,Communication,B2C,-,-,-,2022
 FUNKI,AgTech & FoodTech,"B2B, B2B2C",3,-,-,2022
 BARIKI,CleanTech,"B2B, B2C, B2B2C",-,-,-,2020
 Thrift,FinTech,"B2B, B2C",-,-,-,2022
 Heavnn,FinTech,B2B2C,-,-,-,2021
 Postnest,Transportation & Logistics,"B2B, C2C, B2C",-,-,-,2022
 Lumoflex,CleanTech,"B2B, B2G",-,-,-,2014
 LeadFellow,Business software & HR,B2B,-,-,-,2022
 Right5,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2022
 CARÁ Health,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2022
 Hyperlab Games,Gaming,B2C,-,-,€ 138K,2021
 Nerian,AdTech & Creative Tech,"B2B, B2C",-,-,-,2022
 CaaSocio OÜ,AdTech & Creative Tech,B2B,-,-,€ 28.3K,2020
 Flyport OÜ,TravelTech,"B2C, B2B2C",-,-,-,2021
 Bakksy,FinTech,B2C,-,-,-,2022
 Mini Course Gene...,AdTech & Creative Tech,"B2B, B2C",-,-,-,2021
 Textier,Business software & HR,B2B,-,-,€ 2.6K,2021
 MinitePay,FinTech,B2B,-,-,-,2022
 Hygge Games,Gaming,"B2B, B2C",-,-,€ 72K,2021
 Shared Domains,Communication,"B2B, B2C",-,-,€ 643K,2020
 Partage,PropTech & Construction,"B2C, B2B2C",-,-,€ 453,2020
 Easyplan,Business software & HR,B2B,-,-,€ 16.3K,2021
 vectiopep,"HealthTech, Life sciences & Wellness",B2B,-,-,-,2022
 Breach.gg,Communication,B2B2C,-,-,€ 184.9K,2021
 Rucapen Labs,FinTech,"B2C, B2B2C",-,-,-,2022
 Forgo,Consumer products and services,B2B2C,-,-,-,2023
 Theraheal,"HealthTech, Life sciences & Wellness",-,-,-,-,2022
 Fast Grocery,Consumer products and services,B2B2C,-,-,-,2022
 hosstinn,EdTech,B2B,-,-,-,2021
 Nowal,FinTech,B2B2C,-,-,-,2021
 The WILD,Gaming,"B2B, C2C, B2C",-,-,-,2020
 Unicis.Tech OÜ,CyberTech,B2B,-,-,€ 14,2022
 FudLoop,CleanTech,B2C,-,-,-,2021
 HOM PLATFORM,TravelTech,B2B,-,-,-,2023
 DermaLuminal,"HealthTech, Life sciences & Wellness","B2B, B2B2C",-,-,-,2019
 Pandectes,Consumer products and services,B2B,-,-,€ 61.3K,2022
 Zero Labs,CleanTech,"B2B, B2B2C",-,-,€ 42.1K,2022
 Phygit,AdTech & Creative Tech,B2B,-,-,-,2015
 Gametator,Gaming,B2C,-,-,€ 29.8K,2021
 Apavoice,"HealthTech, Life sciences & Wellness",B2B2C,-,-,-,2022
 Analyzist,AdTech & Creative Tech,B2B,-,-,-,2021
 Starivest,FinTech,B2B,-,-,-,2022
 Bankery,FinTech,B2B2C,-,-,-,2022
 Scraply,Consumer products and services,B2B2C,-,-,-,2022
 MOTIVEER,Business software & HR,B2B,-,-,-,2020
 Grenefy,PropTech & Construction,"B2B, B2C, B2B2C",-,-,-,2022
 DLDB,Business software & HR,B2B,-,-,-,2021
 Fanball365,Gaming,B2C,-,-,-,2022
 iBrand Developme...,Business software & HR,"B2B, C2C",-,-,-,2022
 DadPardaz,Business software & HR,"B2C, B2B2C",-,-,-,2022
 Portal Technolog...,Consumer products and services,B2B2C,-,-,-,2021
 KNW Technologies,Transportation & Logistics,B2B,-,-,€ 5K,2021
 In2view,AdTech & Creative Tech,"B2B, B2B2C",-,-,-,2022
 Right Step,"HealthTech, Life sciences & Wellness","B2B, B2B2C",-,-,-,2023
 SDN Europe LLC,PropTech & Construction,"B2B, B2G, B2B2C",-,-,-,2021
 Catalyst Labs,Consumer products and services,"B2B, B2G, B2C, B2B2C",-,-,-,2022
 MAP-U,Transportation & Logistics,"B2B, C2C, B2C, B2B2C",1,-,€ 2.3K,2021
 Leet9 OÜ,Gaming,B2B2C,-,-,-,2023
 Mentorun,"HealthTech, Life sciences & Wellness",B2B2C,-,-,-,2023
 Bob Makler,PropTech & Construction,"B2C, B2B2C",1,-,-,2023
 Cause,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,-,2021
 WiseClean,Consumer products and services,B2B2C,-,-,€ 4.4K,2022
 Shtuka Research,FinTech,B2B,-,-,-,2023
 Biteful,Business software & HR,B2B,-,-,€ 85,2022
 Any Games,Gaming,B2C,-,-,€ 152K,2020
 Ovoro,FinTech,B2C,-,-,€ 1.2K,2022
 Oyuneks,Consumer products and services,C2C,-,-,-,2022
 The Pack Studios,Gaming,B2C,-,-,-,2022
 Crescive Games,Gaming,B2C,-,-,-,2022
 JitMeal,Business software & HR,B2B,-,-,€ 5.9K,2021
 Bikapsul,Communication,B2C,-,-,-,2022
 ReStaffy,Business software & HR,B2B,-,-,-,2022
 Zindhu,Business software & HR,"B2B, B2C",-,-,-,2022
 Fooodapp,Business software & HR,"B2B, B2B2C",-,-,-,2020
 Pong Heroes,Gaming,B2C,-,-,-,2022
 Flowstep,AdTech & Creative Tech,B2B,-,-,€ 2.9K,2023
 MyGames - Simple...,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,€ 1.6K,2019
 ThinFacility,CleanTech,B2B,-,-,-,2023
 Klareva,AgTech & FoodTech,B2B,-,-,-,2023
 RobotQA,Business software & HR,B2B,-,-,-,2021
 GaltTec,CleanTech,B2B,-,-,€ 9.5K,2022
 FreshSens,AgTech & FoodTech,B2B,-,-,€ 18,2023
 Eetos,Consumer products and services,B2C,-,-,-,2023
 Raal.io,Business software & HR,B2B,-,-,-,2023
 Finbay,FinTech,B2C,-,-,-,2022
 Akurateco,FinTech,B2B,1,-,€ 31.2K,2022
 Distance Tech,Business software & HR,B2B,-,-,-,2017
 Catsitting platf...,Consumer products and services,"B2C, B2B2C",-,-,-,2023
 Sellect,Transportation & Logistics,"B2B, B2C",-,-,-,2022
 Scramble,FinTech,"B2B, B2C",1,-,-,2020
 Futpal,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,€ 3.6K,2021
 DLT Payments,FinTech,B2B,-,-,€ 873,2022
 Mismaksab,Consumer products and services,B2B2C,-,-,-,2019
 theklen.ai,Business software & HR,B2B,2,-,-,2014
 Lingobo,EdTech,B2B,-,-,-,2022
 pakoo,CleanTech,B2B,-,-,€ 4K,2021
 Producter,Business software & HR,B2B,-,-,€ 8K,2022
 Willuwalk,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2022
 Go4Loyal,TravelTech,"B2B, B2C",-,-,-,2023
 Augmental,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2023
 Everyrun,"HealthTech, Life sciences & Wellness",B2B2C,-,-,€ 6.2K,2021
 Augmented Retail,Consumer products and services,"B2C, B2B2C",-,-,-,2020
 MindSee,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2023
 Cyberyal,Gaming,"C2C, B2C",-,-,-,2022
 Manofix,Consumer products and services,"B2B, C2C, B2C",-,-,-,2021
 AILAND,Gaming,"B2B, B2C",-,-,-,2023
 Salesforge,Business software & HR,B2B,-,-,-,2023
 Aeg on raha,Communication,B2C,-,-,-,2023
 mmnt,Communication,"B2B, B2C",-,-,-,2018
 PitchBob.io,Business software & HR,"B2B, B2C",-,-,-,2020
 Classreaders,EdTech,"B2B, B2C, B2B2C",-,-,-,2023
 Flai Analytics,AdTech & Creative Tech,B2B2C,-,-,-,2022
 EsaDres,"HealthTech, Life sciences & Wellness","B2B, B2G, B2B2C",-,-,-,2023
 Tecooli,Consumer products and services,"B2B, B2B2B, B2G, B2C, B2B2C",-,-,€ 469,2019
 GaiaHub,CleanTech,"B2B, B2G",-,-,-,2023
 Playerbank,Business software & HR,"B2B, B2C",-,-,-,2023
 Reality Metavers...,FinTech,-,-,-,-,2022
 The J. Molner Co...,"HealthTech, Life sciences & Wellness",-,-,-,-,2020
 Hacken Proof,CyberTech,-,-,-,-,2017
 Zetly Fueling Sp...,Consumer products and services,"B2B, B2B2B, B2C, B2B2C",-,-,€ 8.3K,2021
 Value.Space,SpaceTech,-,-,-,-,2022
 Perfect.Live,Consumer products and services,-,-,-,-,2017
 Drug Hunter,"HealthTech, Life sciences & Wellness",-,-,-,-,2021
 Remotify,FinTech,"B2B, B2C",-,-,-,2022
 SubSavey,FinTech,"B2B, B2C",-,-,€ 11.8K,2022
 Avsos,Transportation & Logistics,B2B,-,-,-,2022
 Brandimpact,Consumer products and services,"B2B, C2C",-,-,-,2022
 Botastico,Business software & HR,"B2B, B2G, B2C",-,-,-,2023
 Vahetused.ee,"HealthTech, Life sciences & Wellness","B2B, B2B2C",-,-,-,2021
 Inspectle Food,AgTech & FoodTech,B2B,-,-,€ 1.9K,2022
 1MTN,CleanTech,"B2B, B2G, B2B2C",-,-,-,2022
 Memberse,AdTech & Creative Tech,B2B2C,-,-,-,2020
 UXO,Business software & HR,B2B,-,-,-,2021
 RaiserTools,AdTech & Creative Tech,"B2B, B2C, B2B2C",1,-,-,2023
 FORUS,Transportation & Logistics,"B2B, C2C, B2C",-,-,-,2021
 MarkeDroid,CleanTech,"B2B, B2C",-,-,-,2023
 Schoolify,EdTech,B2C,-,-,-,2021
 Innoair,CleanTech,B2B2C,-,-,-,2022
 Project Atlantis...,CyberTech,"B2B, B2C",-,-,-,2023
 Treendly,Consumer products and services,"B2B, B2B2C",-,-,-,2020
 NEFT,FinTech,"B2B, B2C, B2B2C",-,-,-,2022
 MITI,FinTech,B2B,-,-,-,2020
 Reboot Games,Gaming,B2C,-,-,€ 6.9K,2020
 Tings,Consumer products and services,"B2B, C2C, B2C, B2B2C",-,-,-,2018
 Esgrid,Business software & HR,B2B,-,-,-,2023
 TipTape,Consumer products and services,"B2B, B2C",-,-,-,2021
 EAS Project,FinTech,B2B,-,-,-,2021
 CryptoRobotics,FinTech,B2B2C,-,-,-,2021
 Bamble,Business software & HR,"B2B, B2B2B",-,-,-,2022
 DriveX Technolog...,Transportation & Logistics,"B2B, B2G, B2C",-,-,-,2019
 Bitzet,FinTech,"B2B, B2B2B, B2B2C",-,-,-,2021
 Scoot911,Transportation & Logistics,"B2B, B2C",-,-,€ 1.1K,2016
 Karma App,Consumer products and services,B2C,-,-,-,2023
 ChatLegal,Business software & HR,"B2B, B2C",-,-,-,2023
 Hoolduskeskus,Transportation & Logistics,B2B,-,-,-,2021
 Scorestars,Consumer products and services,"B2C, B2B2C",-,-,-,2020
 Beep,Communication,B2B,-,-,-,2023
 Ziv4,FinTech,"B2B, B2C",-,-,-,2023
 Baun,Consumer products and services,-,-,-,-,2022
 Ratel Robotics,SpaceTech,-,-,-,-,2023
 Tocharian,CyberTech,B2B,-,-,-,2023
 Koduandur OÜ,"HealthTech, Life sciences & Wellness","B2B, B2G, B2C",-,-,-,2019
 Forecr.io,Advanced Manufacturing & Industry,B2B,-,-,-,2022
